products_name,products_url,products_brand,products_sale_price,products_original_price,products_description,products_color,products_no_sale_price,style,heel type,patten
Robbie Wedge Boot,https://www.revolve.com/caverley-robbie-wedge-boot/dp/CVRL-WZ3/?d=Womens&page=1&lc=47&itrownum=8&itcurrpage=1&itview=05,Caverley,$115,$220,"Leather upper with man made sole
Side zippered closures
Stud accents throughout
Wedge measures approx 3.5"" H
Runs small; consider sizing up
Revolve Style No. CVRL-WZ3
Manufacturer Style No. 19F021N",Taupe,,wedge,wedge,leather
Don Boot,https://www.revolve.com/caverley-don-boot/dp/CVRL-WZ25/?d=Womens&page=1&lc=49&itrownum=9&itcurrpage=1&itview=05,Caverley,$90,$230,"Reptile embossed leather and grained leather upper with man made sole
Side zipper closure
Metal buckle and stud accents
Rubber tap heel
Pointed toe
Heel measures approx 2"" H
Shaft measures approx 5.5"" H
Imported
Revolve Style No. CVRL-WZ25
Manufacturer Style No. 20S068N",Taupe,,western,block,snake
Casper Boot,https://www.revolve.com/caverley-casper-boot/dp/CVRL-WZ10/?d=Womens&page=1&lc=51&itrownum=9&itcurrpage=1&itview=05,Caverley,$51,$180,"Corduroy textile upper with man made sole
Side zipper closure
Heel measures approx 3.25"" H
Shaft measures approx 6"" H
Imported
Revolve Style No. CVRL-WZ10
Manufacturer Style No. 19F023N",Tan,,stiletto,stiletto,fabric
Dara C Buckle Bootie,https://www.revolve.com/coach-1941-dara-c-buckle-bootie/dp/COAH-WZ56/?d=Womens&page=1&lc=18&itrownum=1&itcurrpage=1&itview=05,Coach 1941,$124,$225,"Suede upper with man made sole
Side zipper closure
Brushed gold tone buckle accent
Heel measures approx 3.25"" H
Shaft measures approx 5"" H
Imported
Revolve Style No. COAH-WZ56
Manufacturer Style No. G4617",Black,,buckle,block,suede
Western Bootie,https://www.revolve.com/coach-1941-western-bootie/dp/COAH-WZ57/?d=Womens&page=1&lc=27&itrownum=3&itcurrpage=1&itview=05,Coach 1941,$99,$225,"Croc embossed leather upper with man made sole
Pull-on styling
Heel measures approx 2.5"" H
Shaft measures approx 5"" H
Imported
Revolve Style No. COAH-WZ57
Manufacturer Style No. G4816",white,,western,block,crocc
Rubi Bootie,https://www.revolve.com/dolce-vita-rubi-bootie/dp/DOLC-WZ880/?d=Womens&page=1&lc=1&itrownum=1&itcurrpage=1&itview=05,Dolce Vita,$72,$160,"Croc embossed leather upper with man made sole
Lace-up front
Heel measures approx 2"" H
Shaft measures approx 5"" H
Imported
Revolve Style No. DOLC-WZ880
Manufacturer Style No. RUBI",black,,hiker,block,crocc
Issa Bootie,https://www.revolve.com/dolce-vita-issa-bootie/dp/DOLC-WZ871/?d=Womens&page=1&lc=14&itrownum=4&itcurrpage=1&itview=05,Dolce Vita,$48 (FINAL SALE),$170,"Snakeskin embossed leather upper with man made sole
Back zipper closure
Heel measures approx 3"" H
Revolve Style No. DOLC-WZ871
Manufacturer Style No. ISSA",Black,,western,block,snake
Serra Bootie,https://www.revolve.com/dolce-vita-serra-bootie/dp/DOLC-WZ874/?d=Womens&page=1&lc=16&itrownum=4&itcurrpage=1&itview=05,Dolce Vita,$78,$150,"Suede upper with man made sole
Side zip closure
Stacked heel measures approx 2.5"" H
Imported
Revolve Style No. DOLC-WZ874
Manufacturer Style No. SERRA",Tan,,western,block,suede
Serna Bootie,https://www.revolve.com/dolce-vita-serna-bootie/dp/DOLC-WZ921/?d=Womens&page=1&lc=17&itrownum=1&itcurrpage=1&itview=05,Dolce Vita,,,"Croc embossed leather upper with manmade sole
Concealed elastic goring at sides
Almond toe
Stacked heel
Heel measures approx 2.5"" H
Shaft measures approx 5.5"" H
Imported
Revolve Style No. DOLC-WZ921
Manufacturer Style No. DV0560E-12D",Brown,$170,western,block,crocc
Cyan Bootie,https://www.revolve.com/dolce-vita-cyan-bootie/dp/DOLC-WZ887/?d=Womens&page=1&lc=23&itrownum=2&itcurrpage=1&itview=05,Dolce Vita,$36 (FINAL SALE),$170,"Dyed calf hair upper with man made sole
Fur Origin: China
Back zipper closure
Heel measures approx 3"" H
Shaft measures approx 5.25"" H
Imported
This item is not available for international export
Revolve Style No. DOLC-WZ887
Manufacturer Style No. DV0830-2A",Leopard,,generic low block,block,calf hair
